Date,Blackout,Notes (Blackout),Showered in morning,Notes (Showered in morning),Hrs Sleep: <6.5'6.5-7.5'7.5+,Notes (Hrs Sleep: <6.5'6.5-7.5'7.5+),Woke up during night,Notes (Woke up during night),Tired at night,Notes (Tired at night),Happy (woke up),Notes (Happy (woke up)),Happy (throughout day),Notes (Happy (throughout day)),Worked/studied 3+'6+ hrs,Notes (Worked/studied 3+'6+ hrs),Productive @ work,Notes (Productive @ work),Ate well,Notes (Ate well),2x coffee neutral' 3+ bad,Notes (2x coffee neutral' 3+ bad),No Alcohol (one drink=neut),Notes (No Alcohol (one drink=neut)),Bike,Notes (Bike),Miles: <6'6-9'9+,Notes (Miles: <6'6-9'9+),Fatigued on run,Notes (Fatigued on run),Hard running workout,Notes (Hard running workout),Saw pru,Notes (Saw pru),Blazed,Notes (Blazed),Saw john/Caleb/friends,Notes (Saw john/Caleb/friends),Read/podcasts/learned,Notes (Read/podcasts/learned),Sex,Notes (Sex),hu,Notes (hu),Good sex,Notes (Good sex),Wack,Notes (Wack),Porn,Notes (Porn),Felt aggressive/got angry,Notes (Felt aggressive/got angry),Travelled (num hours),Notes (Travelled (num hours)),Very deep conversation,Notes (Very deep conversation)
9/29/2015,No,-,Yes,-,No,6.5,No,-,Yes,-,Skip,-,No,-,Yes,-,Yes,-,No,-,Skip,-,Yes,-,Yes,2,Skip,8,Yes,-,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,No,-,No,-,No,-,No,-
9/30/2015,No,-,Yes,-,No,6.5,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-,Yes,-,Yes,15,No,4,Yes,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
10/1/2015,No,-,Yes,-,No,4.5,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Skip,-,Yes,-,Yes,3,Yes,10,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
10/2/2015,No,-,Yes,-,Yes,8.25,No,-,Yes,-,Yes,-,Yes,-,No,-,No,-,No,-,Yes,-,No,-,Yes,4,Yes,9,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
10/3/2015,No,-,No,-,Yes,7.75,No,-,Yes,-,Yes,-,Skip,-,No,-,No,-,Skip,-,Yes,-,Yes,-,No,-,No,6,No,-,No,-,No,-,No,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
10/4/2015,No,-,Yes,-,Yes,8.25,No,-,Yes,-,No,-,Yes,-,Skip,-,Yes,-,Skip,-,Yes,-,Yes,-,No,-,Yes,11,No,-,Yes,-,No,-,Yes,-,No,-,Skip,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,Yes,2.5,No,-
10/5/2015,No,-,Yes,-,Skip,7.25,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Skip,-,Yes,-,Yes,-,No,-,Yes,9,No,-,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
10/6/2015,No,-,Yes,-,Skip,7,No,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,No,-,Skip,-,Skip,-,No,-,Skip,8.5,No,-,No,-,No,-,Skip,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
10/7/2015,No,-,Yes,-,Skip,6.75,No,-,Yes,-,Yes,-,Yes,-,No,-,No,-,No,-,Skip,-,No,-,Yes,3,Skip,8,No,-,Yes,-,No,-,Yes,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
10/8/2015,No,-,No,-,Skip,7,No,-,Yes,-,Yes,-,Yes,-,No,-,Skip,-,Skip,-,Yes,-,No,-,No,-,Yes,10,No,-,No,-,No,-,Yes,-,Yes,-,No,-,No,-,-,-,Skip,-,No,-,No,-,No,-,Yes,3,No,-
10/9/2015,No,-,No,-,No,5.5,No,-,Yes,-,Yes,-,Skip,-,No,-,Skip,-,No,-,Yes,-,No,-,No,-,Skip,8,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,No,-,-,-,Skip,-,No,-,No,-,Yes,-,No,-,No,-
10/10/2015,No,-,Yes,-,No,5.75,No,-,Yes,-,Yes,-,Skip,-,No,-,Skip,-,Skip,-,Skip,-,No,-,No,-,No,0,Skip,-,No,-,No,-,No,-,Yes,-,No,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
10/11/2015,No,-,Yes,-,No,5,No,-,Yes,-,Yes,-,Yes,-,No,-,Skip,-,Yes,-,Yes,-,Yes,-,No,-,Yes,17,No,-,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,Yes,4,No,-
10/12/2015,No,-,Yes,-,Yes,8,No,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,5,Yes,10,No,-,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
10/13/2015,No,-,Yes,-,Skip,7.25,No,-,Skip,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,2,Skip,7,Yes,-,Yes,-,Skip,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
10/14/2015,No,-,Yes,-,Skip,7,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-,Skip,-,No,-,Yes,2,Skip,8,Yes,-,No,-,Skip,(Grey means texted),No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
10/15/2015,No,-,Yes,-,No,6.5,No,-,Yes,-,Yes,-,Skip,-,Skip,-,No,-,No,-,Yes,-,Yes,-,No,-,Yes,10,No,-,No,-,No,-,No,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
10/16/2015,No,-,Yes,-,Skip,7,Yes,-,No,-,Yes,-,Yes,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,Skip,8,No,-,No,-,No,-,No,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
10/17/2015,No,-,Yes,-,No,5.75,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,No,-,Yes,-,Yes,-,No,-,Skip,7,No,-,Yes,-,No,-,No,-,Yes,-,No,-,No,-,-,-,Skip,-,No,-,No,-,No,-,Yes,6.25,Yes,Debate w/will about utilitarianism' other stuff' then with Rosie/Caroline about lots of stuff :)
10/18/2015,No,-,No,-,Yes,8,No,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,No,-,Yes,-,Yes,-,Yes,4,Yes,12,Yes,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
10/19/2015,No,-,Yes,-,Skip,7.5,No,-,No,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Skip,-,Yes,-,Yes,3,Skip,8,No,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
10/20/2015,No,-,Yes,-,No,5.5,No,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,Skip,-,Skip,-,Yes,-,Yes,3,Yes,10,No,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,No,-,No,-,No,-,No,-
10/21/2015,No,-,Yes,-,Skip,7.5,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Skip,-,Yes,-,Yes,5,Yes,9,Yes,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
10/22/2015,No,-,Yes,-,No,6.25,No,-,Yes,-,Yes,-,No,-,Yes,-,Yes,-,Skip,-,Yes,-,Skip,-,No,-,Yes,9,Yes,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
10/23/2015,No,-,No,-,No,5,No,-,Yes,-,Yes,-,No,-,Skip,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Skip,8,No,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,No,-,No,-,No,-,No,-
10/24/2015,No,-,Yes,-,Yes,8,No,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-,No,-,Yes,-,Skip,-,No,-,Skip,8,No,-,Yes,-,No,-,No,-,Yes,-,Yes,-,Skip,-,-,-,Skip,-,Yes,-,Yes,-,No,-,Yes,2,No,-
10/25/2015,No,-,Yes,-,Yes,7.5,No,-,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,Yes,15,Yes,10.5,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,No,-,No,-,No,-,Yes,Acid
10/26/2015,No,-,Yes,-,No,4.75,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,2,Skip,7,Yes,-,No,-,Skip,Snapchatted,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,No,-,No,-,No,-,No,-
10/27/2015,No,-,Yes,-,Yes,8.5,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-,No,-,Yes,9.5,No,-,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,No,-,No,-,No,-,No,-
10/28/2015,No,-,Yes,-,Yes,7.5,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Skip,7,Yes,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
10/29/2015,Yes,-,Yes,-,No,6,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,No,-,Yes,2,Yes,10.5,No,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
10/30/2015,No,-,Yes,-,No,6.5,No,-,No,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Skip,-,No,-,Yes,3,No,3,Yes,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,Yes,W/Caroline drunk
10/31/2015,No,-,No,-,Yes,7.5,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,No,-,No,-,Yes,10,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
11/1/2015,No,-,No,-,Skip,7,No,-,Yes,-,Yes,-,Skip,-,Skip,-,Yes,-,Skip,-,Skip,-,Yes,-,Yes,4,Yes,10,Yes,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
11/2/2015,No,-,Yes,-,Skip,7,No,-,Yes,-,Yes,-,Skip,-,Yes,-,No,-,Yes,-,Skip,-,Yes,-,Yes,1,Yes,10,No,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
11/3/2015,No,-,Yes,-,No,6.5,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,No,-,Skip,8,No,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,No,-,No,-,No,-,Yes,-
11/4/2015,No,-,Yes,-,No,4.5,No,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Skip,-,Yes,-,Yes,-,Yes,1,Yes,11,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,No,-,No,-,No,-,Yes,-
11/5/2015,No,-,Yes,-,No,6.5,No,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Skip,-,Yes,-,No,-,No,-,Yes,11,No,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,Yes,-,-,-,Yes,-,No,-,No,-,No,-,No,-,No,-
11/6/2015,No,-,Yes,-,No,5.5,Yes,-,Yes,-,Yes,-,Yes,-,No,-,No,-,No,-,Yes,-,Yes,-,Yes,22,No,0,Skip,-,Skip,-,No,-,Yes,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
11/7/2015,No,-,No,-,No,6.5,No,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-,Skip,-,Skip,-,No,-,No,-,No,5,No,-,Yes,-,No,-,Yes,-,Yes,-,No,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
11/8/2015,No,-,No,-,Yes,10.5,No,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Skip,-,Yes,-,Yes,-,Yes,18,Yes,13.5,No,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,Yes,-
11/9/2015,No,-,Yes,-,Yes,7.75,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-,Yes,-,Yes,0.5,Skip,6,No,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
11/10/2015,No,-,Yes,-,No,6,Yes,-,No,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-,Yes,-,No,-,No,6,No,-,Yes,-,Skip,Texted,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,Yes,-,No,-,No,-
11/11/2015,No,-,Yes,-,No,4.5,No,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,Skip,-,Yes,-,No,-,Yes,3,Yes,10,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-
11/12/2015,No,-,Yes,-,No,5.5,No,-,Yes,-,No,-,Yes,-,Yes,-,No,-,Skip,-,Yes,-,Yes,-,Yes,3,Yes,10,No,-,No,-,No,-,No,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
11/13/2015,No,-,No,-,Skip,7,No,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,No,5,Yes,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,Yes,-,Yes,8,Yes,-
11/14/2015,No,-,Yes,-,Yes,8,No,-,Yes,-,Yes,-,Skip,-,No,-,Skip,-,No,-,No,-,No,-,No,-,Yes,9.5,No,-,Yes,-,No,-,No,-,Yes,-,No,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
11/15/2015,No,-,No,-,No,4.5,No,-,Yes,-,Yes,-,Yes,-,No,-,No,-,No,-,Yes,-,Yes,-,Yes,5,Yes,14,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,Yes,-,Yes,5,Yes,-
11/16/2015,No,-,Yes,-,No,6.25,No,-,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,Yes,-,Yes,-,Yes,3,No,5.5,No,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-
11/17/2015,No,-,No,-,Skip,6.5,No,-,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,Yes,2,No,5,No,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,Skip,-
11/18/2015,Yes,-,No,-,Skip,7.25,No,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-,Yes,-,No,-,Yes,2,Yes,10,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
11/19/2015,No,-,No,-,Yes,8.25,No,-,No,-,No,-,Yes,-,Yes,-,No,-,Skip,-,Yes,-,Yes,-,Yes,1,No,3,Yes,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,Yes,-
11/20/2015,No,-,Yes,-,No,4.75,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,Yes,7,Skip,7,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,Yes,-
11/21/2015,No,-,No,-,Yes,9,No,-,Yes,-,Yes,-,Yes,-,No,-,No,-,Skip,-,Yes,-,Yes,-,Yes,5,No,4.5,No,-,No,-,No,-,No,-,No,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
11/22/2015,No,-,No,-,No,5.5,No,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,No,-,Yes,-,Yes,-,Yes,4,Yes,14,No,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,Yes,-
11/23/2015,No,-,No,-,No,5,No,-,Yes,-,Yes,-,Skip,-,No,-,No,-,No,-,Yes,-,Yes,-,Yes,1,No,4,No,-,No,-,No,-,Yes,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
11/24/2015,No,-,Yes,-,Yes,7.5,No,-,Yes,-,Yes,-,Yes,-,No,-,No,-,No,-,Yes,-,No,-,Yes,3,No,6,No,-,Yes,-,No,-,Yes,-,Yes,-,No,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
11/25/2015,No,-,No,-,Skip,7,No,-,No,-,Yes,-,Yes,-,No,-,No,-,No,-,Yes,-,No,-,Yes,15,No,0,No,-,No,-,No,-,Yes,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,Yes,Trip
11/26/2015,No,-,No,-,No,5,Yes,-,Yes,-,Yes,-,No,-,No,-,No,-,No,-,Yes,-,Skip,-,No,-,No,1.5,Yes,-,No,-,No,-,No,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
11/27/2015,No,-,Yes,-,Skip,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,No,-,Skip,-,Yes,-,Yes,-,No,-,No,0,No,-,No,-,No,-,Yes,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,No,-,Yes,-,Yes,3,Yes,-
11/28/2015,No,-,No,-,Yes,11,No,-,Yes,-,No,-,No,-,No,-,No,-,Skip,-,Yes,-,Skip,-,Yes,5,No,0,No,-,No,-,No,-,No,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
11/29/2015,No,-,No,-,Yes,8,No,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-,Skip,-,Yes,-,Yes,-,Yes,3,Yes,17,No,-,No,-,Skip,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,Yes,Talked w/Caroline about PENN sex culture
11/30/2015,No,-,No,-,Skip,6.75,No,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Skip,-,Skip,-,Yes,-,Yes,1,Skip,8,No,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
12/1/2015,No,-,No,-,No,6.5,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,No,-,Skip,6,Yes,-,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,Yes,Caroline
12/2/2015,No,-,No,-,Yes,7.5,No,-,Yes,-,Yes,-,No,-,Yes,-,No,-,Yes,-,No,-,No,-,No,-,No,4.5,No,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,Yes,-,No,-,No,-
12/3/2015,No,-,No,-,No,5,No,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,Yes,1,Yes,9,No,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
12/4/2015,No,-,Yes,-,Yes,9.5,Yes,-,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,Yes,2.5,Yes,10,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,Yes,W evan
12/5/2015,No,-,-,-,No,4.25,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,Yes,-,No,-,No,2.5,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,Yes,Evan' Rosie' Caroline' bared out Bigley
12/6/2015,No,-,No,-,No,5,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,No,-,Yes,11,No,-,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
12/7/2015,No,-,No,-,Skip,7.25,No,-,Skip,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,Yes,15,No,5.25,No,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
12/8/2015,No,-,Yes,-,No,4.5,No,-,Yes,-,Yes,-,Skip,-,Skip,-,Yes,-,No,-,Yes,-,No,-,Yes,1,Yes,10,No,-,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,-,-,No,Couldn't finish,No,-,No,-,No,-,No,-,No,-
12/9/2015,No,-,No,-,Skip,7,Yes,-,No,-,Yes,-,Skip,-,No,-,No,-,No,-,Yes,-,No,-,No,-,Skip,7,Yes,-,Yes,-,No,-,Yes,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,Yes,-
12/10/2015,No,-,No,-,Yes,7.5,No,-,No,-,Skip,-,Skip,-,Yes,-,Yes,-,Skip,-,No,-,Yes,-,No,-,Yes,10,Yes,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
12/11/2015,No,-,No,-,No,6,No,-,No,-,Yes,-,No,-,No,-,No,-,No,-,Yes,-,Skip,-,Yes,3.5,Yes,12.25,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,Yes,-
12/12/2015,No,-,No,-,Yes,8.25,No,-,No,-,No,-,No,-,Yes,-,Yes,-,Skip,-,Skip,-,Yes,-,Yes,1,Yes,10,Yes,-,No,-,No,-,No,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
12/13/2015,No,-,No,-,No,5.5,No,-,Yes,-,Skip,-,Yes,-,Yes,-,No,-,No,-,Yes,-,Yes,-,Yes,2,No,3.5,Yes,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-
12/14/2015,No,-,No,-,Skip,6.5,No,-,Yes,-,Yes,-,No,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,Yes,5,No,3,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,Yes,-,No,-,No,-
12/15/2015,No,-,No,-,Yes,8.5,No,-,Yes,-,No,-,No,-,Skip,-,No,-,No,-,Yes,-,Yes,-,Yes,2.5,No,6,Yes,-,No,-,Skip,-,No,-,No,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,Yes,-
12/16/2015,No,-,Yes,-,No,6,No,-,Skip,-,No,-,Yes,-,Yes,-,Yes,-,Skip,-,Skip,-,Skip,-,Yes,1,Yes,9,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
12/17/2015,No,-,No,-,Skip,6.75,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,Skip,-,No,-,Yes,-,No,-,No,1.5,Yes,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,No,-,No,-,Yes,10,No,-
12/18/2015,No,-,No,-,Yes,7.5,No,-,Yes,-,Skip,-,No,-,No,-,No,-,No,-,Skip,-,No,-,No,-,Yes,10,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
12/19/2015,No,-,No,-,No,4,No,-,Yes,-,Skip,-,No,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,No,2,Yes,-,No,-,No,-,No,-,No,-,No,-,No,-,-,-,Skip,-,No,-,No,-,No,-,Yes,7,No,-
12/20/2015,No,-,No,-,Yes,9,No,-,Yes,-,No,-,Yes,-,No,-,Yes,-,Skip,-,Skip,-,Skip,-,No,-,Skip,8,Yes,-,No,-,No,-,No,-,No,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,Yes,Carly about future
12/21/2015,No,-,No,-,Skip,6.75,No,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-,Skip,-,Yes,-,Skip,-,No,-,Skip,8,Yes,-,No,-,No,-,No,-,No,-,No,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,Yes,W fam
12/22/2015,No,-,No,-,Yes,7.75,No,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Skip,-,Skip,-,No,-,No,-,Yes,10,No,-,No,-,No,-,No,-,No,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,Yes,W carly
12/23/2015,No,-,No,-,Yes,7.75,Yes,-,Skip,-,Yes,-,Yes,-,Skip,-,Yes,-,Skip,-,Yes,-,Yes,-,No,-,Skip,7,No,-,Yes,-,No,-,No,-,No,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,Yes,6,No,-
12/24/2015,No,-,No,-,Yes,8,No,-,Skip,-,Yes,-,Yes,-,No,-,No,-,Skip,-,Yes,-,No,-,Yes,6,Yes,10,No,-,No,-,No,-,Yes,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
12/25/2015,No,-,No,-,Yes,7.75,No,-,Yes,-,Yes,-,Yes,-,No,-,No,-,No,-,Yes,-,Skip,-,No,-,No,6,Yes,-,No,-,Skip,-,No,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
12/26/2015,No,-,No,-,Yes,8,No,-,Yes,-,Yes,-,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,No,-,Yes,10.5,Yes,-,Yes,-,No,-,Yes,-,Yes,-,No,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
